MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
13087442,2013,Sep,20,Fire,AUTO - Auto Fire,B3,AFD,00-2305,2F,Code 3,-,"(30345001, 97696787)"
13087459,2013,Sep,20,Fire,BBQ - Unsafe Cooking,B4,AFD,00-2704,4F,Code 1,-,"(30228255, 97828611)"
13097997,2013,Oct,20,Fire,TRASH - Trash Fire,B3,AFD,00-1801,3F,Code 3,-,"(30313156, 97683404)"
13098015,2013,Oct,20,Fire,TRASH - Trash Fire,B5,AFD,00-0701,3F,Code 3,-,"(30256772, 97734079)"
13087574,2013,Sep,20,Fire,ELEC - Electrical Fire,B4,AFD,00-2706,3F,Code 3,-,"(30218677, 97874501)"
13098104,2013,Oct,20,Fire,TRASH - Trash Fire,B4,AFD,00-2706,3F,Code 3,-,"(30233992, 97871223)"
13098119,2013,Oct,20,Fire,BBQ - Unsafe Cooking,B1,AFD,00-1604,4F,Code 1,-,"(30332499, 97719459)"
13098230,2013,Oct,21,Fire,AUTO - Auto Fire,B5,AFD,00-1501,2F,Code 3,-,"(30256958, 97677147)"
13098385,2013,Oct,21,Fire,TRASH - Trash Fire,B1,AFD,00-0101,3F,Code 3,-,"(30265535, 97737484)"
13098440,2013,Oct,21,Fire,AUTO - Auto Fire,B5,AFD,00-4207,2F,Code 3,-,"(30202624, 97666966)"
13098521,2013,Oct,22,Fire,BOXL- Structure Fire,B5,AFD,00-3501,1F,Code 3,-,"(30209957, 97741858)"
13098562,2013,Oct,22,Fire,AUTO - Auto Fire,B3,AFD,00-4004,2F,Code 3,-,"(30387004, 97648592)"
13098563,2013,Oct,22,Fire,BOX -Structure Fire,B5,AFD,00-0502,1F,Code 3,-,"(30282272, 97703754)"
13098704,2013,Oct,22,Fire,AUTO - Auto Fire,B3,AFD,00-2304,2F,Code 3,-,"(30352067, 97678101)"
13098727,2013,Oct,22,Fire,TRASH - Trash Fire,B4,AFD,00-3606,3F,Code 3,-,"(30184305, 97786848)"
13087794,2013,Sep,21,Fire,AUTO - Auto Fire,B5,AFD,00-1503,2F,Code 3,-,"(30251917, 97704272)"
13087830,2013,Sep,21,Fire,ELEC - Electrical Fire,B4,AFD,00-2702,3F,Code 3,-,"(30231968, 97840023)"
13098775,2013,Oct,22,Fire,BOXL- Structure Fire,B2,AFD,00-3810,1F,Code 3,-,"(30457732, 97762956)"
13098777,2013,Oct,22,Fire,ELEC - Electrical Fire,B4,AFD,00-1705,3F,Code 3,-,"(30238429, 97789697)"
13098971,2013,Oct,23,Fire,ELEC - Electrical Fire,B2,AFD,00-2504,3F,Code 3,-,"(30417027, 97749789)"
13099110,2013,Oct,24,Fire,ELEC - Electrical Fire,B4,AFD,00-3701,3F,Code 3,-,"(30246535, 97887367)"
13099197,2013,Oct,24,Fire,BOX -Structure Fire,B5,AFD,00-4201,1F,Other,-,"(30206225, 97639347)"
13099371,2013,Oct,24,Fire,ELEC - Electrical Fire,B2,AFD,00-3904,3F,Left Blank,-,"(30395664, 97847134)"
13099536,2013,Oct,25,Fire,ELEC - Electrical Fire,B3,AFD,00-1805,3F,Code 3,-,"(30326753, 97684028)"
13099590,2013,Oct,25,Fire,GRASS - Small Grass Fire,B2,AFD,00-4401,3F,Code 3,-,"(30434084, 97770148)"
