tweet_id,handle,retweet_count,text,mined_at,created_at
1226594759436881921,Donald J. Trump,34136,"....This is the biggest political crime in American History, by far. SIMPLY PUT, THE PARTY IN POWER ILLEGALLY SPIED… https://t.co/3YKWPQDPZ8",2020-02-12 14:18:37.532253,Sun Feb 09 19:52:34 +0000 2020
1226594751132114945,Donald J. Trump,56685,FBI Director Christopher Wray just admitted that the FISA Warrants and Survailence of my campaign were illegal. So… https://t.co/gczJF0nNQV,2020-02-12 14:18:37.532255,Sun Feb 09 19:52:32 +0000 2020
1226591267817185280,Donald J. Trump,17561,"So good to see that Republicans will be winning the Great State of Alabama Senate Seat back, now that lightweight S… https://t.co/5LFM52LXeu",2020-02-12 14:18:37.532257,Sun Feb 09 19:38:41 +0000 2020
1226586575112413184,Donald J. Trump,9782,".@LarrySabato is much better at giving you the answer after everything is finished and the final result is in, than… https://t.co/pKczuzWXUK",2020-02-12 14:18:37.532259,Sun Feb 09 19:20:03 +0000 2020
1226583877159989249,Donald J. Trump,12660,"Sabato got it all wrong last time, never came close to understanding the Trump Voter. Actually it’s simple, MAKE AM… https://t.co/SeETujylQt",2020-02-12 14:18:37.532261,Sun Feb 09 19:09:19 +0000 2020
1226564532031705093,Donald J. Trump,32437,"It’s all turning, and fast! MVP Heckler. https://t.co/PiA0ANmjYP",2020-02-12 14:18:37.532263,Sun Feb 09 17:52:27 +0000 2020
1226563498479640576,Donald J. Trump,12111,"“They (Conservatives) thought the merits of the Impeachment case were weak, and therefore his (Romney’s) judgement… https://t.co/xHQa6exYRp",2020-02-12 14:18:37.532266,Sun Feb 09 17:48:21 +0000 2020
1226540476075036673,Donald J. Trump,9004,RT @kin2souls: @KimStrassel Anyone that votes to IMPEACH OUR PRESIDENT over an unconstitutional house IMPEACHMENT better start packing thei…,2020-02-12 14:18:37.532268,Sun Feb 09 16:16:52 +0000 2020
1226539351963840515,Donald J. Trump,23722,"RT @RedPillReport: I don’t know who the heckler is...but he is my hero!  Nadler was rattled! 😂

One of the best things to come from the ele…",2020-02-12 14:18:37.532270,Sun Feb 09 16:12:24 +0000 2020
1226538379728359429,Donald J. Trump,8945,RT @DanaSchoonover1: @KimStrassel @steph93065 Romney is covering up his part in corruption in Ukraine. This has nothing to do with truth or…,2020-02-12 14:18:37.532272,Sun Feb 09 16:08:32 +0000 2020
1226538338196299781,Donald J. Trump,12837,RT @harmks: @KimStrassel https://t.co/S7gwwqWw2K,2020-02-12 14:18:37.532274,Sun Feb 09 16:08:22 +0000 2020
1226538190644838400,Donald J. Trump,11635,"RT @bigleaguepol: @KimStrassel Mitt Romney is tied to Hunter Biden’s Burisma corruption.

This is why he’s bent over backwards for the medi…",2020-02-12 14:18:37.532276,Sun Feb 09 16:07:47 +0000 2020
1226538095346159617,Donald J. Trump,10750,RT @bigleaguepol: @KimStrassel Mitt Romney has stabbed Trump in the back and will join Democrats in their shameful attempt to overturn an e…,2020-02-12 14:18:37.532278,Sun Feb 09 16:07:24 +0000 2020
1226537476476502016,Donald J. Trump,18259,"They are really mad at Senator Joe Munchkin in West Virginia. He couldn’t understand the Transcripts. Romney could, but didn’t want to!",2020-02-12 14:18:37.532280,Sun Feb 09 16:04:57 +0000 2020
1226536586642444289,Donald J. Trump,25244,"RT @DonaldJTrumpJr: This is what Nancy Pelosi ripped up. A truly shameful move, even for her. https://t.co/I7mNMZn4sj",2020-02-12 14:18:37.532282,Sun Feb 09 16:01:24 +0000 2020
1226536092121419777,Donald J. Trump,13492,"RT @TrumpWarRoom: ""The real problem is the Democrats and Nancy are so blinded by hate, hatred of Donald Trump, that they can’t even functio…",2020-02-12 14:18:37.532285,Sun Feb 09 15:59:26 +0000 2020
1226536007299932162,Donald J. Trump,9506,RT @TeamTrump: Senior Advisor @IvankaTrump highlights how President @realDonaldTrump’s policies are lifting the lives of everyday Americans…,2020-02-12 14:18:37.532287,Sun Feb 09 15:59:06 +0000 2020
1226535948189675521,Donald J. Trump,11769,"Romney hurt some very good Republican Senators, and he was wrong about the Impeachment Hoax. No clue! https://t.co/J6rtaZYYxD",2020-02-12 14:18:37.532289,Sun Feb 09 15:58:52 +0000 2020
1226534052708130820,Donald J. Trump,15149,Yes!!!!! https://t.co/9ERa0atGOX,2020-02-12 14:18:37.532291,Sun Feb 09 15:51:20 +0000 2020
1226533853487095808,Donald J. Trump,7744,RT @WhiteHouse: The sham impeachment attempt concocted by Democrats ended in the full vindication and exoneration of President @realDonaldT…,2020-02-12 14:18:37.532294,Sun Feb 09 15:50:33 +0000 2020
1226533798189379584,Donald J. Trump,6009,"RT @henryrodgersdc: McConnell Rips Democrats Over Iowa Caucus Mishap — 'Can't Even Count Votes'
 https://t.co/XB11sKAVio",2020-02-12 14:18:37.532296,Sun Feb 09 15:50:20 +0000 2020
1226533667255832576,Donald J. Trump,10473,RT @MelissaAFrancis: Nancy Pelosi ripped the tribute to this family to shreds. https://t.co/28MJRsRWMp,2020-02-12 14:18:37.532298,Sun Feb 09 15:49:48 +0000 2020
1226533100945133568,Donald J. Trump,6117,RT @henryrodgersdc: 👀,2020-02-12 14:18:37.532300,Sun Feb 09 15:47:33 +0000 2020
1226532882228883460,Donald J. Trump,7805,RT @henryrodgersdc: Pence (@VP) blasted Pelosi's behavior during Trump's State Of The Union in a sit-down interview with me today. “Not jus…,2020-02-12 14:18:37.532302,Sun Feb 09 15:46:41 +0000 2020
1226532771256000513,Donald J. Trump,10776,RT @brithume: Standing ovation for Trump as he’s introduced at the National Prayer Breakfast. Even Nancy Pelosi stands and applauds. Trump…,2020-02-12 14:18:37.532305,Sun Feb 09 15:46:15 +0000 2020
1226532054461972480,Donald J. Trump,10555,This is so true! https://t.co/utms4KMUVk,2020-02-12 14:18:37.532307,Sun Feb 09 15:43:24 +0000 2020
1226531801042169856,Donald J. Trump,26260,This will never get old! https://t.co/u1CzwwIBvE,2020-02-12 14:18:37.532309,Sun Feb 09 15:42:23 +0000 2020
1226531482178641922,Donald J. Trump,5402,RT @KatrinaPierson: Hemingway: Impeachment Theater Could Not Have Gone Worse For Democrats. https://t.co/jwU3VkLs0X,2020-02-12 14:18:37.532311,Sun Feb 09 15:41:07 +0000 2020
1226531253450629123,Donald J. Trump,8135,"RT @BlackVoices4DJT: From the NEW YORK TIMES: 

'Black Workers’ Wages Are Finally Rising'

https://t.co/DqexgCYkhd",2020-02-12 14:18:37.532313,Sun Feb 09 15:40:13 +0000 2020
1226530912491507713,Donald J. Trump,6773,"RT @TrumpWarRoom: The economy is BOOMING.

Americans are WINNING.

The latest jobs report proves President @realDonaldTrump's Great America…",2020-02-12 14:18:37.532315,Sun Feb 09 15:38:52 +0000 2020
1226530411595157505,Donald J. Trump,5283,"RT @KatrinaPierson: Murdock: Democrats, Trump is giving America the economy you claim to want – Be honest and say thanks. #demdebate https:…",2020-02-12 14:18:37.532317,Sun Feb 09 15:36:52 +0000 2020
